Title,Company,Location,Stipend,Skills
Back Office Executive - Hyderabad,Calipers Consulting Private LimitedActively hiring,"Secunderabad, Hyderabad(Hybrid)",No Stipend,"MS-Excel, Data entry, Effective Communication, Customer Support"
Law/Legal,ABC REGISTRATION SERVICESActively hiring,Delhi,No Stipend,MS-Office
Video Editor,Ranjan RanaActively hiring,Ahmedabad,No Stipend,"Video Editing, Adobe Premiere Pro"
CS Articleship,Akshay BActively hiring,Pune(Hybrid),No Stipend,"MS-Office, Time Management, Problem Solving, English Proficiency (Spoken), English Proficiency (Written), Research and Analytics, Statutory compliances"
Accounts,Rosier Foods Private LimitedActively hiring,Ghaziabad,No Stipend,"MS-Office, Accounting, Tally, MS-Excel, English Proficiency (Spoken)"
Content Creator - Freshers,Ranjan RanaActively hiring,Ahmedabad,No Stipend,"Computer skills, Video Making, Content Management, Content Editing"
Creative Design,Burp AloudActively hiring,Bhubaneswar,No Stipend,"Adobe Photoshop, CorelDRAW, Video Editing, Adobe Premiere Pro, Videography, Adobe Creative Suite, Voiceover"
Telecalling,Storybizz Media Private LimitedActively hiring,Kolkata,No Stipend,"English Proficiency (Spoken), English Proficiency (Written)"
Company Secretary (CS),N D Savla & AssociatesActively hiring,Mumbai,No Stipend,"MS-Office, MS-Word, Company Law"
Graphic Design,Rishiraj MediaActively hiring,Delhi,No Stipend,"Adobe Photoshop, CorelDRAW, Adobe Illustrator, Adobe InDesign"
AI Agent Development,Gigin Technologies Private LimitedActively hiring,Bangalore,No Stipend,"Python, Natural Language Processing (NLP), LangChain, Hugging Face, ChatGPT, LLMOps"
Business Development (Sales),HerbocleanzActively hiring,Dehradun,No Stipend,"Social Media Marketing, Email Marketing, English Proficiency (Spoken)"
Accounting & Taxation,H S SABHARWAL & CoActively hiring,"Dehradun, Mussoorie, Rishikesh",No Stipend,"Accounting, Tally, Taxation, English Proficiency (Spoken), English Proficiency (Written), Financial literacy, Effective Communication"
Volunteering,ADOREActively hiring,Work from home,No Stipend,English Proficiency (Spoken)
Operations,Jaaguar Media SolutionsActively hiring,Mumbai,No Stipend,"MS-Office, MS-PowerPoint, Vendor Management, Hindi Proficiency (Spoken), Effective Communication, Email Management, Collaboration"
Video Editing/Making,Cliently IncActively hiring,Work from home,No Stipend,"Video Editing, Adobe Premiere Pro, Final Cut Pro, Video Making"
Content Writing,Callify.aiActively hiring,Mumbai,No Stipend,"Event Management, Content Writing, Content Marketing"
Shoe Designer,The Souled StoreActively hiring,Mumbai,No Stipend,"Adobe Photoshop, CorelDRAW, Adobe Illustrator"
Video Editing/Making,MastersHelpActively hiring,"Secunderabad, Hyderabad(Hybrid)",No Stipend,"Video Editing, Time Management, Video Making, Instagram Marketing, Capcut"
Content Writing,Art Of Tech ConsultingActively hiring,Mumbai,No Stipend,"Content Writing, Digital Marketing, Search Engine Optimization (SEO), Creative Writing, LinkedIn Marketing, English Proficiency (Written), Instagram Marketing"
Operations,Mud Ash Foodworks Pvt. LtdActively hiring,Bangalore,No Stipend,"Mathematics, Interpersonal skills"
Trainee - Marketing (Live Events),BookMyShowActively hiring,Mumbai,No Stipend,"English Proficiency (Spoken), English Proficiency (Written), Marketing, Marketing Campaigns"
Graphic Design,SirusNVegaActively hiring,Mumbai,No Stipend,"Adobe Illustrator, Adobe InDesign, Graphic Design"
Warehouse Operation,The Affordable Organic StoreActively hiring,"Hyderabad, Balanagar",No Stipend,"MS-Office, MS-PowerPoint, MS-Excel, Problem Solving, Effective Communication"
Video Editing And Video Live Streming,VideoflakesActively hiring,Chandigarh,No Stipend,"Video Editing, Videography, Video Making"
Project Management,FynTune Solution Private LimitedActively hiring,"Thane, Navi Mumbai, Vashi, Belapur, Mumbai, Turbhe, Panvel",No Stipend,"MS-Word, MS-Excel, English Proficiency (Spoken), English Proficiency (Written), Product Lifecycle Management(PLM), Effective Communication, Product Strategy"
Business Development (Sales),FroozoActively hiring,Mumbai,No Stipend,"Social Media Marketing, Digital Marketing, English Proficiency (Written), Microsoft PowerApps, Effective Communication"
Business Development (Sales),Natturz Bio Kontrol Private LimitedActively hiring,Mumbai(Hybrid),No Stipend,"Social Media Marketing, Digital Marketing, Email Marketing, MS-Excel, English Proficiency (Spoken), English Proficiency (Written), Hindi Proficiency (Spoken)"
Brand Execution,TringActively hiring,Mumbai,No Stipend,"Negotiation, Branding, English Proficiency (Spoken), English Proficiency (Written), Hindi Proficiency (Spoken), Hindi Proficiency (Written), Influencer Marketing"
